Symbol,Series,ISIN Code
IRCTC,EQ,INE335Y01020
IRFC,EQ,INE053F01010
INDIGOPNTS,EQ,INE09VQ01012
IGL,EQ,INE203G01027
INDUSTOWER,EQ,INE121J01017
INDUSINDBK,EQ,INE095A01012
INFIBEAM,EQ,INE483S01020
NAUKRI,EQ,INE663F01024
INFY,EQ,INE009A01021
INGERRAND,EQ,INE177A01018
INTELLECT,EQ,INE306R01017
INDIGO,EQ,INE646L01027
IPCALAB,EQ,INE571A01038
JBCHEPHARM,EQ,INE572A01028
JKCEMENT,EQ,INE823G01014
JBMA,EQ,INE927D01044
JKLAKSHMI,EQ,INE786A01032
JKPAPER,EQ,INE789E01012
JMFINANCIL,EQ,INE780C01023
JSWENERGY,EQ,INE121E01018
JSWSTEEL,EQ,INE019A01038
JAMNAAUTO,EQ,INE039C01032
JSL,EQ,INE220G01021
JINDALSTEL,EQ,INE749A01030
JINDWORLD,EQ,INE247D01039
JUBLFOOD,EQ,INE797F01020
JUBLINGREA,EQ,INE0BY001018
JUBLPHARMA,EQ,INE700A01033
JUSTDIAL,EQ,INE599M01018
JYOTHYLAB,EQ,INE668F01031
KPRMILL,EQ,INE930H01031
KEI,EQ,INE878B01027
KNRCON,EQ,INE634I01029
KPITTECH,EQ,INE04I401011
KRBL,EQ,INE001B01026
KSB,EQ,INE999A01015
KAJARIACER,EQ,INE217B01036
KALPATPOWR,EQ,INE220B01022
KALYANKJIL,EQ,INE303R01014
KANSAINER,EQ,INE531A01024
KARURVYSYA,EQ,INE036D01028
KEC,EQ,INE389H01022
KENNAMET,EQ,INE717A01029
RUSTOMJEE,EQ,INE263M01029
KFINTECH,EQ,INE138Y01010
KOTAKBANK,EQ,INE237A01028
KIMS,EQ,INE967H01017
L&TFH,EQ,INE498L01015
LTTS,EQ,INE010V01017
LICHSGFIN,EQ,INE115A01026
LTIM,EQ,INE214T01019
LAXMIMACH,EQ,INE269B01029
LT,EQ,INE018A01030
LATENTVIEW,EQ,INE0I7C01011
LAURUSLABS,EQ,INE947Q01028
LXCHEM,EQ,INE576O01020
LEMONTREE,EQ,INE970X01018
LICI,EQ,INE0J1Y01017
LINDEINDIA,EQ,INE473A01011
LUPIN,EQ,INE326A01037
LUXIND,EQ,INE150G01020
MMTC,EQ,INE123F01029
MRF,EQ,INE883A01011
MTARTECH,EQ,INE864I01014
LODHA,EQ,INE670K01029
MGL,EQ,INE002S01010
M&MFIN,EQ,INE774D01024
M&M,EQ,INE101A01026
MAHINDCIE,EQ,INE536H01010
MHRIL,EQ,INE998I01010
MAHLIFE,EQ,INE813A01018
MAHLOG,EQ,INE766P01016
MANAPPURAM,EQ,INE522D01027
